Question,Answers,photo_link,map_link,other_link
"What is Boston Weather like?","On a day to day basis Boston weather is a changing variable. It is early spring here which means temperatures will be in the 60-40F range. While it may be comfortable during the day you should carry a coat for the evenings. It also does rain here a fair amount so a waterproof jacket and umbrella is recommended. The snow should be over… should be...","","",http://forecast.weather.gov/MapClick.php?lat=42.35842800500046&lon=-71.05976636899965
"Where do I find up-to date information?","The Droidcon Boston Twitter feed","","",https://twitter.com/droidconbos?lang=en
"Where do I find up-to date information?","The Official Event Hashtag #DroidConBos","","",https://twitter.com/search?f=tweets&q=%23DroidConBos
"Is there a Twitter List to follow Speakers, Staff, and Sponsors?","Droidcon Boston Speaker List","","",https://twitter.com/droidconbos/lists/droidconbos-speakers
"Is there a Twitter List to follow Speakers, Staff, and Sponsors?","Droidcon Boston Sponsor List","","",https://twitter.com/droidconbos/lists/droidconbos-sponsors
"Is there a Twitter List to follow Speakers, Staff, and Sponsors?","Droidcon Boston Team List","","",https://twitter.com/droidconbos/lists/droidconbos-team
"How do I get around?","Pro tip - from the airport! Take the Silver line bus from Logan for free to South Station. Up the escalator and out to Atlantic Street you will find cabs at the curb and no waiting in line for them.","","",""
"How do I get around?","There are many options for getting into the city from the airport. Look for the $5 shuttle to the Back Bay. Even cheaper rides on the MBTA Blue line might work for you. There is taxi service and door to door shuttles. The MBTA is by far the best option as it is inexpensive and runs quite often - that is either a shuttle that will take you to the Airport Blue line subway stop or the Siver Line1 bus which goes to the heart of downtown, South Station, the main train and bus hub for Boston. Lyft and Uber are also allowed to drop-off and pickup from the airport.","","",https://www.massport.com/logan-airport/to-and-from-logan/logan-express/back-bay/
"How do I get around?","The best option for getting around the city itself is the MBTA. The closest subway stop is Back Bay Station which is located on the Orange Line. The second best option is the Bus system. The 43 Bus will take you downtown as will the SL4 and SL5.","","",http://www.mbta.com/index.asp
"How do I get around?","There are Hubway (bike sharing) stations dotted throughout and both Lyft and Uber work quite well here.","","",https://www.thehubway.com/
"How do I get around?","Try Safr, redefining ridesharing for women, launched March 1 to kick off Women's History Month","","",https://www.gosafr.com/
"How do I get around?","Unfortunately parking will be limited in this area. There is metered street parking and pay parking garages in the area but they will be pricey for all day parking but is available.","","",""
"This is my first time in Boston. What should I go see?","Maybe a show or a movie (Loews movie theaters)? Or just check out the historic Theatre DIstrict.","","q=0,0?q=42.3533001,-71.0639661(Leows)",""
"This is my first time in Boston. What should I go see?","The Prudential Center and Top of the Hub. Shopping Center and restaurant with an unsurpassed view of the city. 
800 Boylston St, Boston, MA 02199",http://topofthehub.net/wp-content/uploads/2016/06/headerimage21.jpg,"geo:0,0?q=42.3471516,-71.0847017(The Pru)",http://topofthehub.net
"This is my first time in Boston. What should I go see?","Copley Square and the Boston Public LIbrary. The very first library in the United States is in Boston. You have to go inside to see the lions.","","geo:0,0?q=42.3493982,-71.0805612(Copley)",""
"This is my first time in Boston. What should I go see?","Boston's Chinatown. We got a gate. We got diem-sum.",https://lh5.googleusercontent.com/-qr2kPGcTDQY/V66VcH4f-6I/AAAAAAAAX5Q/FJOkwx9dok0ozEwtAKOGFA2EpheNW8j5QCJkC/w408-h272-k-no/,"geo:0,0?q=42.3497511,-71.0673111(Chinatown)",""
"This is my first time in Boston. What should I go see?","Fenway Park",https://lh5.googleusercontent.com/proxy/-TzqwyV4Y3_dcWCGw8QfvtwhVgYHZSMgeQ1GMubw5b0sTvIznPNfcGeov4-GzVVbVXBWSJvnn5z_EJYmc-1CD9leyQrkhkna1x941joBA2cA_SM9_ofoS35RgYotDNJ_v7iybBMt5XAvGbyKyxucGNWGl-9_gA=w480-h200-k-no,"geo:0,0?q=42.3466803,-71.0994118(Fenway)",http://boston.redsox.mlb.com/bos/ballpark/
"This is my first time in Boston. What should I go see?","Quincy Market since 1742?",https://lh6.googleusercontent.com/proxy/R6ipvePmcxwGnxVQyTT1Ot_3KIPZwVEiY9oLVf6AQkDG-5n6GQ22Tv8nG1j8ots9bcTpoXNDCqpO6EO5PSCPAWAURga3fAc9zm6PequP8Z1hXPdYG_6yfOxCdWLsx5fp0o6IgWfkeaMfp2V90YuXYV_IcPnJ2w=w408-h589-k-no,"geo:0,0?q=42.3598033,-71.0566542(Faneuil Hall)",""
